record_contributor,objectid,filename,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format_original,format,rightsstatement
Yeliz Baloglu Cengay,dh937211,1892Book.pdf,"London, Ontario. Its Advantages & Attractions",H.C. Allison's Printing and Novelty Company,1892,"A book on residential, business, and public attractions of London, Ont. It includes images of major public buildings, manufacturing plants, parks, and churches.",London; Pictoral Works; Public buildings; Churches; Bridges; Parks; Court House; Picture album,"London, Ontario",42.99845,-81.17722,Internet Archives,https://archive.org/details/londonontario00unknuoft/page/34/mode/2up,book; ,book,pdf,CC BY-NC-SA 4.0 International
Yeliz Baloglu Cengay,dh937212,1905Book.pdf,"View Book of London, Ont.",W. G. McFarlane,1905,"A picture album with an introduction of brief history of City of London.  Published for S.H. Knox & Co. Original book was in Queen's University Library, W.D. Jordan Special Collections and Music Library.",Picture album; London; Pictoral Works; Public buildings; Parks; Churches; Banks; Market; Residences ,Toronto,43.65107,-79.347015,Internet Archives,https://archive.org/details/londonontario00knox/page/n3/mode/2up,book; ,book,pdf,CC BY-NC-SA 4.0 International
Yeliz Baloglu Cengay,dh937213,1910Book.pdf,"Views of London, Ontario",Valentine & Sons United Publishing Company,1910,"A book on residential, business, and public attractions of London, Ont. It includes images of major public buildings, manufacturing plants, parks, and churches.  Published for S.H. Knox & Co. Original book was in University of Toronto.",Picture album; London; Pictoral Works; Public buildings; Parks; Churches; Banks; Market; Residences ,Montreal,45.508888,-73.561668,Internet Archives,https://archive.org/details/viewsoflondonont00vale/mode/2up,book; ,book,pdf,CC BY-NC-SA 4.0 International
Yeliz Baloglu Cengay,dh937214,1913Book.pdf,"London, Ontario, Canada : resources and advantages",Council of the Corporation of the City of London,1913,"Selected pages from a picture book of London Ontario. A book on residential, business, and public attractions of London, Ont. It includes a London railways map and  images of major public buildings, manufacturing plants, parks, and churches.",Picture album; London; Pictoral Works; Public buildings; Parks; Churches; Banks; Market; Residences; Map; Railways,"London, Ontario",42.99845,-81.17722,Internet Archives,https://archive.org/details/londonontariocan00lond/page/n1/mode/2up,book; ,book,pdf,CC BY-NC-SA 4.0 International
Yeliz Baloglu Cengay,dh937215,1855Image.jpg,"London, Canada West ",E. Whitefield,1855,"Whitefield's Original Views of North American Cities, No. 36. Reproduction of a drawing of London, Ontario. Reproduced with permission from copy in U. W. O Library.
""Drawn from nature by E. Whitefield.""
""Entered according to Act of Congress in the year 1855 by E. 
Whitefield, in the Clerks office of the district Court of the Southern 
district of New York.""",London; Canada West; Image; Bridges; Churches; City Hall; drawing,"London, Ontario",42.99845,-81.17722,Western University,https://ir.lib.uwo.ca/mdc-London-maps/5/,image;stillimage,drawing,image/jpg,CC BY-NC-SA 4.0 International
Yeliz Baloglu Cengay,dh937216,1878Map.pdf,"Illustrated Historical Atlas of the County of Middlesex, Ont.",H.R. Page & Co.,1878,"Selected maps and sketches of London, Ontario from the Illustrated Historical Atlas of the County of Middlesex Ont. ","Map; London suburbs; Kensington; Court House; Post Office; Coston House; Firemen's Hall, Strathroy; Tecumseh House; George Burns, Clothier & Artificer; Residence of W.D. McGloghlon; W.D. McGloghlon's Jewelry Store; Township of London ",Toronto,43.65107,-79.347015,"Archives and Special Collections, Western Libraries",F1059.M6P2 1878,book; ,illustrations; portraits; maps; plans,pdf,CC BY-NC-SA 4.0 International
Yeliz Baloglu Cengay,dh937217,1890Map.jpg,"Map of the City of London and Suburbs of London East, London West and London South",Joseph Doust,1892,"Map of the City of London compiled and drawn from registered plans by Aquila Ormsby Graydon Esq., & P.L.S. Scale (1:4800). Coloured map, mounted on cloth; 107 X 124 cm. The locations of various businesses and churches are marked. Postal Districts, letter pick-up boxes as well as fire alarm boxes are indicated.",Map; London suburbs; Postal districts; City of London; Letter pick-up boxes; Fire alarm boxes; Churches; Public buildings; drawing,"58 Adelaide Street East, Toronto",43.39599,-79.23659,"Archives and Special Collections, Western Libraries",CX40,print; map,drawing,image/jpg,CC BY-NC-SA 4.0 International
Yeliz Baloglu Cengay,dh937218,1902Map.jpg,Plan of the City of London 1903,"The London Printing & Litographic Company (Limited), the Ministry of Agriculture",1903,"Produced as the compliments of J.H. Chapman & Co., Leading Dry Goods House of the West; Scale undeterminable; Coloured map; 51 X 63 cm; Index to churches and public buildings and a drawing of J. H. Chapman & Co. Building is included.",Map; City of London; Churches; Public Buildings; litograph,"126 Dundas Street, London, Ontario",42.983684,-81.251205,"Archives and Special Collections, Western Libraries",CX37,print; map,lithograph,image/jpg,CC BY-NC-SA 4.0 International
Yeliz Baloglu Cengay,dh937219,1910Map.pdf,"London, Ontario 1910",Moore-Henry & munro Arch't's,1910,"Ink drawing on tracing cloth. Map of City of London. Scale (1:1200). An accompanied map of Market Square, 28X 32, scale (1 inch: 100 feet). ",Map; City of London; Market Square; City Hall; drawing,"London, Ontario",42.99845,-81.17722,"Archives and Special Collections, Western Libraries",CX84,print; map,drawing,pdf,CC BY-NC-SA 4.0 International
Yeliz Baloglu Cengay,dh937220,1916Map.jpg,"Charlton's Revised Map of Greator London, Canada Including Ealing, Pottersburg, Knollwood Park and Chalsea Green",Charlton Press,1916,"Drawn by Thomas Walker, litho artist and designer. Scale (1:16 620). 43 X 55 cm. Index is included.","Map; Greator Lodon; Ealing, Pottersburg; Knollwood Park; Chalsea Green; litograph","London, Ontario",42.99845,-81.17722,"Archives and Special Collections, Western Libraries",CX38,print; map,lithograph,image/jpg,CC BY-NC-SA 4.0 International
Yeliz Baloglu Cengay,dh937221,1922Map.jpg,Young's New Revised City of London Guide,Young Press,1922,Map of City of London. Scale indeterminable. 37 X 55 cm. Street index included. Map is showing University of Western Ontario.,Map; City of London; University of Western ontario; litograph,"66 Carling Street, London, Ontario",42.984227,-81.251956,"Archives and Special Collections, Western Libraries",CX13,print; map,lithograph,image/jpg,CC BY-NC-SA 4.0 International
